gene_name CTL_gene_expr1 CTL_gene_expr2 M3KD_gene_expr1 M3KD_gene_expr2 untreated_IP1 untreated_IP2 treated_IP1 treated_IP2
WWTR1 2453 2059 1742 1690 1.09 1.04 0.63 0.68
FAM98A 2580 2111 2623 2617 0.86 0.82 0.2 0.38
KANK2 1862 1616 3940 3972 1.53 1.57 0.56 0.69
C2CD2 594 526 708 674 1.62 1.53 2.11 1.78
TBC1D10B 1196 1043 2136 2266 0.39 0.39 0.3 0.3
RNF167 1575 1383 1318 1313 0.45 0.47 1.37 0.94
C2CD3 890 730 1029 1038 1.35 1.39 1.87 1.97
ZZZ3 974 800 579 586 1.7 1.63 1.55 1.9
FAM32A 1301 1153 1423 1466 2.02 1.96 1.48 1.55
SUSD5 218 225 292 297 2.06 1.94 2.56 3.13
TOR1AIP1 1324 1186 1122 1067 3.53 3.29 3.63 3.69
WIPI2 1918 1478 2385 2249 1.82 1.98 1.84 2.06
TANC2 1997 1774 3013 2989 1.02 0.96 1.14 1.04
LDLRAP1 479 410 759 733 2.75 2.4 1.71 1.78
IRF2BP1 426 399 672 627 1.44 1.38 1.52 1.69
KIF26A 1655 1473 2526 2562 2.22 2.12 1.58 1.62
RSL1D1 4633 3775 3471 3546 1.05 1.04 1.03 0.97
GAS1 504 428 667 724 2.72 2.48 2.03 1.77
PHGDH 10067 8869 10657 10789 0.28 0.2 0.41 0.37
NUPR1 1213 991 1354 1468 0.51 0.69 0.24 0.06
TIMM13 967 850 609 676 1.64 1.6 1.16 0.87
LATS2 1290 1169 1424 1547 2.13 2.11 1.69 1.54
CKAP2 2662 2030 1776 1727 1.32 1.48 1.51 1.37
TBL2 652 600 878 844 2.36 2.1 1.28 1.57
RNF11 735 715 619 604 1.99 1.98 1.49 1.4
PELP1 1868 1625 2250 2397 1.51 1.39 0.98 0.78
LYPD3 1274 1126 1471 1467 0.65 0.6 0.58 0.62
UQCRQ 2248 1907 943 955 0.68 0.71 0.92 0.85
AFF4 3843 3383 3197 3115 1.67 1.48 1.96 1.75
APEX2 1337 1155 1899 1983 1.16 1.28 0.87 0.84
TNRC6A 2179 1710 2157 2112 0.67 0.67 0.8 0.78
TMEM97 885 800 572 559 1.1 0.74 1.48 1.01
TOR1B 579 533 660 661 1.74 1.59 0.81 0.81
GLI2 312 259 403 413 1.41 2.11 7.66 3.31
TOR2A 311 246 362 362 1.79 2.12 2.54 2.14
GNA12 1774 1456 2353 2282 2.26 2.31 1.6 1.76
GNAI2 4685 4028 5686 5789 0.55 0.67 0.74 0.71
GNL1 2076 1851 2593 2606 0.13 0.12 0.16 0.18
GNS 3024 2465 2058 1947 1.4 1.52 0.77 0.58
GOLGA3 5024 4121 6815 6695 2.09 2.08 1.19 1.27
GOLGB1 3340 2728 4397 4158 0.8 0.91 1.25 1.51
SFN 1549 1261 2616 2589 1.7 1.73 1.35 1.37
SLCO3A1 3168 2665 2657 2613 1.82 1.8 1.76 1.85
BCL9L 3087 2629 5389 5581 2.03 2.26 1.52 1.47
PGP 906 829 1013 1029 2.2 2.03 1.68 1.55
TSEN54 675 606 862 855 3.33 3.31 2.19 2.5
UBALD2 766 676 1089 1139 1.18 1.17 0.44 0.48
C17orf58 763 724 1006 1050 1.47 1.38 0.89 0.82
PIGW 332 236 186 201 1.89 1.93 1.4 1.09
C17orf89 327 294 208 240 0.83 0.53 1 0.8
GPER1 240 220 474 450 1.68 1.54 2.12 2
TCAIM 590 494 398 403 1.5 1.53 2.07 2.52
FRYL 1115 901 1235 1204 2.38 2.34 2.9 3.23
SH3PXD2B 2293 1928 4125 4096 1.68 1.74 1.14 0.86
C5orf51 1064 869 547 468 1.81 1.49 1.86 1.99
CEP57L1 314 297 211 227 1.16 0.82 1.81 1.46
DCBLD1 528 522 411 373 2.95 2.94 2.34 2.23
TPRN 718 606 974 1069 1.47 1.29 0.5 0.33
GRB10 1453 1186 1137 1136 2.22 2.43 2.51 2.6
RAPGEF1 1803 1569 1383 1400 1.3 1.42 1.53 1.5
MRPS18B 2053 1653 1442 1489 0.89 0.97 0.42 0.32
C19orf53 1942 1657 1963 2035 1.2 1.21 0.81 0.87
MCTS1 1306 1065 882 842 0.35 0.22 1.05 0.83
ABR 2209 1884 3253 3256 1.67 1.78 1.32 1.25
GRIN2D 313 290 568 535 1.96 1.78 1.31 1.35
GRINA 1733 1520 1804 1860 0.76 0.77 0.33 0.36
SETD2 3604 2999 4381 4389 1.42 1.32 0.7 0.85
NDUFAF4 221 195 57 54 0.34 0.26 0.55 0.5
ARHGAP35 1658 1364 2133 2240 2.42 2.56 1.96 2.05
SSU72 1046 935 1718 1807 1.27 1.17 0.4 0.47
ANKRD11 10984 9763 17574 17843 1.91 1.87 1.27 1.23
PDIA3 6801 5590 5145 5069 1.14 1.24 1.1 1.31
MSH6 2710 2295 3101 2905 2 1.95 2 2.04
GTF2A1 854 700 570 581 2.32 2.59 2.82 2.9
GTF2F1 2840 2391 4134 4226 1.95 2.07 1.34 1.29
GTF3C1 3223 2708 4578 4702 2.21 2.24 1.61 1.31
ABT1 631 487 693 681 2.02 2.28 1.1 1.15
NCAPH2 754 674 940 1013 2.52 2.67 2.04 2.2
SENP1 924 803 660 626 2.22 2.35 1.53 1.52
GUK1 2107 1864 3218 3320 0.94 1.31 0.49 0.03
ANAPC2 1409 1191 1591 1572 2.09 2.12 1.65 1.56
SAC3D1 408 334 557 659 2.19 2.23 1.79 1.73
SEC61A1 4511 3843 5643 5608 1.49 1.59 1.29 1.26
SLC25A24 905 792 707 721 1.96 1.93 0.98 1.02
PRICKLE4 49 42 114 109 1.17 1.16 1.7 1.94
CDIP1 591 560 721 694 1.44 1.13 0.64 0.72
PILRB 1591 1297 1856 1809 0.71 0.7 0.43 0.51
H2AFX 1219 991 1945 1979 2.39 2.52 2.43 2.42
HIST1H2BD 832 749 1235 1293 0.15 0.14 0.24 0.22
HDLBP 12067 10581 16203 16040 0.61 0.55 0.59 0.62
EHD2 2323 2068 4496 4562 1.73 1.49 1.17 1.19
ANXA6 7796 6698 9673 9451 0.23 0.7 0.51 0.68
HIF1A 6354 5447 4656 4567 0.94 0.84 0.88 0.82
ACACA 4110 3555 3288 3341 1.66 1.26 0.93 0.95
HMGB1 8171 6961 5015 4987 0.22 0.24 0.57 0.57
HMGCR 2287 2047 1113 1108 1.74 1.75 2.28 2.24
HMGCS1 4249 3733 1134 1084 0.53 0.52 0.56 0.53
HMOX2 886 758 972 934 1.38 1.45 0.95 1
HNRNPA2B1 19348 16324 15791 15292 0.07 0.07 0.21 0.19
HOXB7 327 236 530 525 1.51 1.48 0.37 0.66
APC 1527 1194 1709 1622 0.95 0.92 1.43 1.33
HRAS 394 347 497 510 1.87 1.94 1.09 1.27
MMAB 680 644 526 488 1.35 0.94 1.47 1.77
APEX1 3508 3018 3539 3834 0.74 0.4 0.89 1.03
HSBP1 1892 1734 971 993 0.26 0.21 0.94 0.89
HSPA1B 12419 10510 16519 16772 2.08 2.21 2.17 1.98
HSPA1L 276 270 434 416 1.36 1.29 2.09 1.68
HSPA4 7180 5907 5061 4798 0.61 0.7 1.13 1.06
HSPA8 35614 30174 21631 21000 1.27 1.26 0.98 1
HSP90AA1 35945 29979 15708 15242 0.71 0.68 0.72 0.72
NDST1 2035 1748 2399 2369 1.9 1.8 0.89 1.22
PKD1P1 3678 3293 4696 4687 0.4 0.38 0.15 0.16
C1orf174 968 841 741 791 1.24 1.42 1.82 1.54
NAT8L 820 674 951 983 2 1.71 1.36 0.94
NRBP2 636 524 738 710 1.14 0.97 1.33 1.12
MTX3 1257 1036 647 612 1.57 1.72 2.92 3.24
IGF1R 7070 6088 9111 9067 0.88 0.73 0.22 0.26
IL6R 561 478 754 700 2.65 2.27 2.71 2.61
IL6ST 2364 1895 1403 1395 2.51 2.39 2.64 2.62
IL13RA1 701 623 527 461 2.65 2.51 1.74 1.71
IRF2BP2 1683 1457 2039 2008 2.37 2.36 2.03 2.02
AQP3 3978 3465 6196 6288 1.81 1.73 1.35 1.37
FOXK2 3105 2765 4103 4085 2.34 2.43 1.91 2.38
INCENP 2884 2493 3779 3963 1.53 1.32 1.2 0.81
ING2 236 182 139 145 1.98 2.12 2.57 2.37
INPPL1 4633 3838 6488 6573 0.96 1 0.34 0.33
IREB2 1595 1343 1183 1177 2.35 2.26 2.62 2.47
ARAF 1855 1520 2002 2034 2.41 2.61 1.62 1.66
JUNB 848 746 1282 1184 1.11 1.19 0.78 0.8
KARS 4870 4354 2840 2728 0.28 0.27 0.67 0.59
KIF7 414 338 474 499 1.74 1.86 1.05 0.88
HDDC3 362 295 442 447 1.22 1.53 0.42 0.51
PTAR1 2064 1765 982 960 0.6 0.59 0.59 0.69
ARF3 3332 2799 3748 3583 1.39 1.4 0.86 0.85
MALAT1 103492 86167 76808 74803 0.55 0.55 0.17 0.17
KIF3C 465 406 1192 1217 1.38 1.57 2.17 1.97
KRT8 24179 21123 31790 31926 0.39 0.54 0.42 0.48
C6orf120 490 461 169 156 3.49 3.21 2.22 1.86
SKIDA1 272 241 496 465 2.16 2.27 2.47 2.46
SETD8 1577 1304 1970 1960 1.34 1.3 0.79 0.68
RHOB 4773 4051 3155 3301 2.3 2.33 2.1 2.04
ZNF749 347 290 236 253 2.13 2.09 2.79 2.55
ZNF324B 199 145 302 305 1.35 1.39 2.55 2.13
FAM69A 100 94 64 48 2.21 2 2.94 3.32
RBM12B 700 589 797 753 2.2 2.2 1.86 1.89
USP27X 32 22 58 55 1.84 1.58 4.14 12.12
RHOG 463 383 549 625 0.62 0.64 0.5 0.46
LAMC1 7934 6590 4020 4101 1.99 2.25 2.44 2.62
LGALS3BP 6123 5246 6245 6196 1.88 1.84 1.56 1.56
ARHGDIA 5184 4404 6709 6886 0.7 0.73 0.29 0.36
LIFR 3718 3178 1987 1989 2.92 2.85 2.91 2.9
FAM102A 921 792 1375 1399 1.63 1.6 0.73 0.88
SNX19 1150 997 1240 1184 0.36 0.34 0.37 0.38
C1orf226 132 102 199 230 2.26 2.22 3.55 3.43
VWA5A 1967 1710 1564 1446 1.52 1.61 2.12 1.97
LINC00998 353 295 135 146 1.79 1.74 2.07 1.77
LINC01000 2833 2438 3208 3328 2.43 2.59 1.49 1.4
LRP4 1186 1009 871 831 2.76 2.75 2.09 2.17
LTBP3 1145 987 1924 1984 0.82 0.98 1.69 1.96
LTBR 2969 2518 2418 2516 1.93 1.79 1.48 1.44
BCAM 877 814 1497 1626 1.08 1.22 1.37 1.44
MARCKS 985 875 1063 1135 1.07 1.02 1.28 1.27
MAN2A2 2062 1796 1589 1615 2.49 2.52 1.88 1.65
MAP4 9850 8324 13453 13645 1.18 1.05 1.32 1.41
MAT2A 4536 3844 1846 1794 2.17 2.24 2.95 2.73
C8orf82 170 163 229 269 1.18 1.16 0.69 0.49
MAZ 5880 5089 6980 7127 0.9 0.85 0.47 0.37
MBD1 901 803 1042 1079 1.48 0.88 0.35 0.18
MCM3 6369 5567 7939 7902 1.82 1.91 1.45 1.43
MDM2 2700 2269 2208 2081 1.79 1.85 2.17 1.94
MDM4 2438 2077 1664 1614 1.86 1.83 2 2.17
MAP3K3 911 846 1579 1551 2.5 2.56 1.62 1.67
MEN1 1397 1158 1794 1872 1.82 2.03 1.45 1.39
MET 3080 2587 2205 2077 1.84 1.71 1.11 1.1
MID1 862 758 1217 1155 2.26 2.22 2.3 2.42
MKI67 13823 11791 22915 22604 2.21 2.18 1.85 1.86
MAP3K11 523 504 958 896 2.16 1.98 1.57 1.47
KMT2A 4256 3560 4900 4873 0.95 0.98 1.14 1.1
MLLT1 3186 2597 4703 4839 1.49 1.6 0.8 0.73
AFF1 2055 1752 2705 2604 2.49 2.59 2.53 2.91
MLLT4 973 799 1173 1160 3.04 2.7 0.97 0.77
MLLT6 2531 2140 3090 3234 2.32 2.41 1.78 1.67
FOXO4 807 669 1073 1053 0.9 1.07 1.32 1.53
MNT 909 808 1287 1301 1.99 1.94 1.07 1.07
ABCC1 2310 1972 2776 2684 2.44 2.4 1.68 1.75
MT2A 1644 1465 2247 2312 0.89 0.89 1.12 1.13
MYC 11859 10094 8282 8380 0.69 0.64 0.87 0.79
GADD45B 635 567 451 472 2.44 2.44 2.07 1.77
MYH9 18931 16347 30330 30659 1.48 1.46 0.89 0.87
MYH10 7970 6575 11988 11781 1.57 1.47 0.99 1.11
ZFHX3 2982 2520 5216 5315 0.84 0.86 1.95 1.29
MYL6 6255 5338 4520 4498 0.15 0.16 0.6 0.32
MYO1C 5942 5307 7583 7334 0.86 0.78 0.12 0.13
MYO10 16573 14161 19371 19214 2.55 2.48 2.09 2.03
NDUFA2 520 450 334 380 0.48 0.61 0.67 0.63
NDUFA4 2327 1884 923 904 0.25 0.26 0.32 0.24
NDUFB4 1664 1380 1006 959 0.47 0.48 0.6 0.69
NDUFB8 73 46 20 26 0.08 0.07 0.26 0.25
NDUFC1 732 602 387 394 0.41 0.27 0.16 0.13
NDUFS5 3117 2667 2654 2609 0.1 0.07 0.18 0.2
RERE 1866 1613 3090 3146 1.91 1.76 1.21 1.17
ATOX1 444 373 300 298 0.28 0.3 0.34 0.33
NEU1 1606 1385 1309 1246 2.33 2.33 1.79 1.96
NFIC 4274 3593 6491 6455 1.33 1.51 1.14 1.22
NFIX 1621 1351 2329 2345 1.76 1.92 1.3 1.12
NFRKB 1352 1134 1590 1710 0.25 0.52 0.1 0
NME4 984 882 1069 1091 1.2 1.13 1.2 1.1
NOTCH1 1421 1314 2341 2383 2.01 1.75 0.97 0.93
NPC1 909 761 958 979 2.13 1.95 1.36 1.53
NPM1 26755 22957 14589 14422 0.12 0.07 0.34 0.27
YBX1 23569 20219 23700 23280 0.71 0.74 0.89 0.85
NTN3 121 103 383 405 1.84 1.47 2.06 2.05
NUCB1 5921 5200 8215 8344 1.91 1.78 1.49 1.45
NUMA1 6896 6031 12980 12945 0.65 0.7 0.35 0.29
NUP98 3695 3216 2942 2893 0.21 0.21 0.24 0.27
HCG11 1427 1169 823 846 2.51 2.28 2.71 2.34
RBMXL1 928 829 661 688 1.38 1.05 2.23 1.74
TBC1D25 499 456 598 639 2.21 2.18 1.75 1.82
ODF2 3205 2698 4025 3970 1.19 0.82 0.03 0.43
OLR1 1060 834 690 685 1.59 1.83 1.23 1.22
ORC5 426 341 208 229 2.16 2.04 0.99 0.52
OSBP 2216 1915 2374 2404 1.98 2.14 1.5 1.54
P4HB 13760 11656 13060 13404 1.1 1.13 0.69 0.64
PA2G4 6841 5880 4509 4392 0.7 0.73 0.95 0.84
PAK2 1700 1358 1197 1216 3.76 3.32 3.89 5.35
GEMIN4 1911 1650 2159 2101 1.32 1.26 1.03 1.08
PALM 1086 920 2178 2230 2.1 2.04 1.24 1.13
DCAF8 2644 2207 2821 2779 1.29 1.35 1.27 1.39
PBX2 1975 1662 2690 2596 1.62 1.83 1.21 1.21
PCBP1 4765 4041 5208 5225 1.73 1.79 1.74 1.76
PCCB 1440 1256 1089 1148 0.77 0.79 1.56 1.42
MRPS16 932 799 592 546 0.42 0.32 0.75 1.19
DESI2 678 614 820 760 0.61 0.63 0.76 0.76
ZBTB7B 2463 2105 3557 3647 1.96 1.99 1.6 1.61
ZNF691 209 162 278 233 1.84 1.69 2 2.18
RPS27L 1232 999 545 548 0.59 0.36 1.09 0.83
MRPL4 1522 1328 1109 1130 0.76 0.91 0.52 0.59
KLHL5 1798 1504 1380 1353 0.98 0.95 1.24 1.27
SEPSECS 396 320 171 168 2.16 1.71 3.36 2.33
METTL9 1488 1227 786 701 1.17 1.21 1.33 1.69
PCNA 1580 1298 1231 1203 1.07 0.96 0.61 0.62
RLIM 5739 4685 4046 3893 0.83 0.92 0.88 0.86
CERCAM 1998 1716 2155 2171 1.36 1.37 0.74 0.79
MRTO4 1122 939 723 736 1.88 1.9 2.42 2.47
PCNT 2157 1945 3112 3139 2.26 2.24 1.42 1.77
NIN 1774 1489 2161 2113 1.22 1.44 1.56 1.51
EMC4 871 739 654 690 1.15 1.23 1.46 1.29
CDK16 5312 4528 5407 5453 0.56 0.55 0.26 0.36
KRCC1 143 145 244 237 1.2 0.88 1.3 1.38
ZBTB7A 876 799 1333 1292 1.89 1.56 2.21 1.93
TAOK3 1106 886 1381 1418 0.55 0.53 0.38 0.38
TEX264 418 394 556 589 2.99 2.67 1.43 1.58
EIF3L 5062 4388 3710 3677 0.17 0.16 0.12 0.11
SCARA3 11493 9904 16169 16360 1.93 1.93 1.44 1.43
LIMA1 4549 3899 3578 3504 0.92 0.87 0.99 0.9
NOP16 733 648 447 433 1.37 1.1 1.67 1.64
CXXC5 649 556 906 937 1.47 1.57 1.61 1.47
OSER1 970 845 746 744 1.51 1.45 0.91 0.96
PDGFA 470 377 527 510 1.96 2.15 2.21 2.2
HDAC7 1719 1556 2224 2234 2.17 1.8 1.35 1.44
PCF11 814 662 876 836 2.36 2.48 2.71 2.82
PDGFRB 1854 1628 3142 3218 1.86 1.9 1.16 1.29
DPH5 611 470 311 321 1.95 2.29 1.22 0.73
PDHB 1218 1018 683 695 0.1 0.12 0.32 0.32
KLF13 2154 1863 3014 3086 1.22 1.13 0.86 0.95
PTRH2 436 380 265 264 1.03 1.02 1.88 1.76
SARAF 1637 1397 1229 1213 0.47 0.51 0.33 0.37
PDPK1 1402 1166 1460 1449 2.98 2.96 2.44 2.37
WBP11 3562 3136 4426 4292 0.56 0.52 0.14 0.19
MSRB1 227 220 305 303 3.24 3.06 2.05 2.2
CDK12 2368 1991 2639 2587 2.45 2.21 2.46 2.6
PHAX 976 888 1169 1103 1.74 1.34 2.07 2.2
PFN1 10009 8681 9822 10074 0.48 0.39 0.61 0.59
PFN2 2128 1793 1253 1202 1.29 1.34 1.55 1.66
PGD 4206 3648 3361 3326 1.06 1.18 0.47 0.65
ATP6V0C 73 76 145 159 0.84 0.97 0.19 0.1
PIGF 60 60 23 27 1.58 2 0.7 1.12
PIK3C2A 2837 2400 2142 2151 2.44 2.11 1.03 0.78
PIK3CA 355 257 234 224 3.18 2.97 3.67 3.28
PI4KA 2553 2160 3287 3253 1.77 1.35 0.31 0.87
PKM 44751 38508 44686 44922 0.76 0.76 0.42 0.44
PLAG1 234 209 170 143 1.98 2.01 2.42 2.61
PLAGL1 1924 1541 983 1025 1.47 1.56 1.65 1.54
PLAGL2 610 495 1032 969 1.9 1.88 1.63 1.69
PLAUR 310 254 383 330 2.71 2.96 1.8 1.82
PLCG1 3145 2654 4145 4252 2.13 2.25 1.69 1.51
TPCN1 1385 1206 1599 1597 1.13 1.5 0.63 0.74
PLEC 11028 9509 21268 21420 1.32 1.45 0.84 0.75
PLP2 3424 2742 2768 2844 0.35 0.46 0.56 0.54
PML 579 514 896 834 1.98 1.84 1.2 1.44
PMM2 932 792 1006 1011 1.65 1.65 1.18 1.2
PMS1 311 228 166 147 1.61 1.38 2.49 2.51
C11orf24 935 756 1170 1218 1.9 1.97 1.63 1.58
PMS2 1155 908 1373 1408 0.27 0.3 0.24 0.2
BRWD1 1606 1319 1002 904 1.72 1.7 1.99 1.95
C21orf58 664 606 959 965 2.88 2.11 0.76 0.32
POLE3 2149 1825 1448 1480 0.66 0.72 0.81 0.76
PNN 9418 7907 7593 7695 0.4 0.42 0.68 0.71
POLD2 4976 4378 4064 4170 0.12 0.12 0.12 0.16
POLE 3035 2571 3947 3905 1.6 1.73 0.96 0.94
POLG 2770 2461 1984 2116 1.3 1.33 0.67 0.67
POLR2A 5771 5190 7497 7448 0.96 0.93 1.09 1.06
SLC38A2 4144 3548 2464 2433 0.08 0.09 0.15 0.18
PRR13 537 426 319 309 0.3 0.38 0.32 0.38
FAM134B 134 114 216 190 2.88 2.68 2.93 3.19
CHPF2 899 698 1375 1461 1.42 1.43 1.21 1.05
RHOF 166 150 261 312 1.94 2.03 1.55 1.54
DDIT4 4680 4126 3662 3674 2.42 2.42 2.02 2.01
ATRX 5196 4468 5363 5225 1.18 1.07 1.51 1.49
TBC1D13 639 606 867 788 1.82 1.55 1.13 1.25
WDR74 1347 1171 900 874 0.12 0.12 0.31 0.32
GPN2 307 222 360 360 0.22 0.39 0.1 0.1
OTUD4 1782 1460 1126 1087 2.56 2.62 2.66 2.8
SLC35F2 958 851 591 569 1.85 2.06 2.21 2.06
LY6K 174 182 265 253 3.18 3.07 2.01 2.27
TRIM44 3290 2616 4273 4357 0.67 0.51 0.92 0.89
CNNM2 1368 1145 1855 1826 1.54 1.52 1.26 1.2
ZNF562 985 798 654 650 1.69 1.54 1.94 1.89
KLHL28 817 752 596 657 1.21 1.04 0.5 0.53
PAQR5 595 528 278 248 3.16 2.66 2.18 1.95
TMEM214 2481 1999 2850 2785 0.79 0.87 0.23 0.39
BCOR 6562 5612 8451 8585 0.83 0.93 0.38 0.4
ALKBH5 2259 1827 2673 2749 0.78 0.81 0.35 0.44
WHSC1L1 1641 1399 1768 1717 1.86 1.64 2.03 2.16
YTHDF1 2459 2210 3283 3224 2.05 2.25 1.32 1.1
CHTF8 1453 1231 1785 1758 2.61 2.57 2.05 2.08
RASIP1 1659 1418 1902 1903 1.23 1.36 0.25 0.4
IMPAD1 1751 1573 1224 1158 2.29 2.15 2.71 2.85
TRMT10C 447 355 204 204 1.68 1.75 2.08 2.01
COMMD4 881 834 1137 1107 1.15 1.45 0.53 0.85
PPM1G 6041 4970 7711 7681 1.76 1.7 1.07 1.02
HCFC1R1 697 603 840 849 1.42 1.4 0.89 0.77
ZNF770 1389 1185 882 834 0.93 0.69 1.54 1.52
GID8 1345 1208 1638 1593 1.82 1.95 1.55 1.31
AURKAIP1 1651 1402 1338 1329 0.45 0.35 0.41 0.48
PPP1CB 2042 1705 1144 1115 0.96 1.13 1.45 1.11
PPP1CC 2670 2165 1030 979 1.57 1.75 0.92 1.01
ZWILCH 525 405 251 235 0.99 1.25 1.33 1.24
PDPR 1539 1305 1598 1589 1.37 1.3 1.09 0.96
OXR1 867 717 591 607 1.73 1.94 2.19 2.01
UACA 1120 993 1414 1448 1.19 0.62 1.82 1.72
KIF26B 2259 2017 3179 3218 1.54 1.37 0.8 0.72
SOBP 198 199 428 449 1.03 0.88 1.44 1.23
TMEM51 109 94 150 154 3.11 2.86 2.32 2.36
GPATCH2 357 314 255 267 2.62 1.83 3.1 3.18
ARHGAP17 2391 2093 2683 2773 0.65 0.65 0.37 0.39
SRBD1 329 296 439 391 1.28 1.17 1.68 1.89
RBM23 1474 1233 1831 1863 2.36 2.4 1.76 1.93
DARS2 1741 1507 850 805 1.65 1.87 0.85 1.01
ARHGEF10L 365 303 480 526 3.29 2.24 1.67 1.84
SLC25A36 3050 2613 1914 1770 1.29 1.28 1.39 1.46
PBRM1 1321 1130 1819 1749 0.4 0.48 0.59 0.52
FAM86C1 557 461 641 660 1.77 1.37 2.05 1.85
PPP2R2A 1668 1373 1027 1047 2.74 3.12 2.39 2.25
MAP1S 805 750 1363 1491 2.08 1.82 1.27 1.05
SETD5 6537 5461 7117 7106 0.17 0.15 0.27 0.25
KIRREL 1010 912 1554 1540 3.45 2.95 2.28 2.42
TMEM206 380 308 177 187 2.24 2.38 1.63 1.23
VPS53 1636 1414 1900 1957 2.68 2.82 1.89 1.89
BRIX1 2652 2276 1415 1383 0.83 0.77 0.93 0.92
ZNF444 240 222 317 324 2.18 1.64 1.06 1.11
WDR33 1151 925 1848 1853 0.12 0.13 0.09 0.09
LGR4 2194 1690 1312 1252 2.3 2.39 2.29 2.36
LRRC59 6576 5682 8076 8079 1.01 0.94 0.39 0.65
PRCC 1305 1063 1723 1713 1.58 1.54 0.88 1.02
NOP10 1149 922 645 725 1.48 1.61 1.19 1.09
MAML3 1866 1636 2013 1981 2.28 2.36 1.7 1.72
CHRNA9 186 186 80 86 2.59 2.34 3 3.08
BMP2K 441 386 524 517 2.07 2.11 2.37 2.29
OTUD5 2303 2001 3068 3048 1 1.18 0.66 0.7
ZCCHC8 1004 899 694 736 2.38 2.22 2.74 2.55
THUMPD1 600 512 699 693 1.82 1.77 2.12 1.85
SMPD4 1669 1456 2117 2145 2.11 2.45 1.75 1.82
PNRC2 1149 984 858 829 0.61 0.69 0.64 0.77
PRKAA2 756 679 339 281 0.64 0.65 0.75 0.86
NHP2 2388 2065 1560 1563 0.08 0.08 0.4 0.49
PRPF40A 2888 2416 2301 2145 0.54 0.71 1.01 1.11
RABL6 4524 3790 5507 5659 1.81 2 1.4 1.18
PACS1 1941 1732 2795 2808 0.6 0.59 0.15 0.18
VAC14 969 823 1477 1412 1.06 0.96 0.62 0.67
CCDC88A 2189 1760 1591 1452 1.42 1.68 2.16 2.12
NECAP2 591 525 662 653 2.13 1.86 1.76 1.86
TENM3 1275 1023 1880 1772 3 3.05 3.38 3.28
SLF2 284 289 425 412 1.09 0.72 1.43 1.61
FAM222B 475 415 809 800 0.89 0.93 0.66 0.7
ZFP64 1191 1008 1528 1544 2.72 2.54 2.73 2.6
DNAJC11 1655 1359 2007 1854 1.08 0.92 0.67 0.51
ARFGAP1 3780 3263 4075 4274 1.95 1.91 1.59 1.61
ENAH 7188 6036 5060 5047 1.6 1.69 1.66 1.58
PRR11 3597 3051 2589 2537 0.68 0.56 0.66 0.65
ZNF839 502 380 554 573 2.89 2.92 3.26 3.19
PRKCA 6529 5474 6367 6595 1.22 1.37 0.75 0.71
CAND1 2872 2369 2249 2025 1.86 1.86 1.94 2.02
ACOT13 1472 1348 935 923 0.29 0.17 0.97 0.83
ASH1L 2924 2486 3440 3192 0.77 0.99 1.18 1.34
PRKCZ 387 361 576 566 0.94 1.09 1.37 1.28
PRKDC 15657 13111 15791 15650 1.14 1.35 1.59 1.42
CTTNBP2NL 1495 1306 1975 1871 1.9 1.94 1.54 1.58
FAM212B 107 107 192 186 1.45 1.41 2 1.98
MAPK3 1462 1277 1854 1859 0.35 0.43 0.51 0.47
MAPK4 694 592 816 780 2.71 2.55 1.48 1.87
MAP2K3 634 561 858 861 1.97 1.93 1.2 1.31
UBFD1 1632 1374 1819 1733 1.51 1.54 0.29 0.61
PRKRIR 859 617 486 435 2.3 2.24 1.28 1.38
ANKH 3289 2828 2739 2792 0.09 0.19 0.3 0.37
MEPCE 1197 1107 1596 1509 1.16 1.21 0.92 0.91
LRRC8A 1933 1664 4011 3952 1.87 1.73 1.18 1.13
PRPSAP1 1210 1008 925 959 1.82 1.82 2.38 2.15
SAR1A 1625 1320 1077 1026 2.07 2.16 1.59 1.6
B2M 6137 5346 2699 2727 0.45 0.42 0.54 0.46
SLC2A4RG 2778 2340 3572 3598 0.91 1.04 1.19 1.19
PSKH1 697 536 921 912 2.27 2.31 1.74 1.77
PSMA1 2875 2381 1919 1860 0.28 0.17 0.34 0.5
C8orf4 1288 1058 635 635 2.35 2.37 2.59 2.43
UBQLN4 2581 2252 2658 2642 1.31 1.41 0.7 0.37
C15orf39 1050 918 1413 1472 1.64 1.69 1.31 1.27
STARD7 2293 1991 1871 1863 1.85 1.83 1.16 1.16
C1GALT1 559 459 199 165 1.19 1.32 3.15 3.18
SPPL2B 694 594 750 767 1.23 1.11 0.58 0.55
PSMB5 1758 1554 1350 1405 0.17 0.15 0.09 0.04
PMEPA1 1542 1255 1602 1614 1.64 1.73 0.91 1.05
CMC2 521 449 283 299 1.99 2.02 1.76 1.22
PSMB7 1188 993 777 819 0.45 0.55 0.51 0.59
C5orf15 812 643 328 378 0.59 0.58 0.66 0.6
NIT2 695 564 415 395 0.07 0.09 0.16 0.14
YAE1D1 251 202 156 133 1.65 1.76 1.99 1.98
CCDC47 1927 1667 1138 1119 0.4 0.56 0.92 0.68
COQ9 3729 3167 3015 3031 1.55 1.47 1.05 0.88
TWSG1 406 340 282 299 1.38 1.52 0.73 0.77
UTP3 1107 921 1165 1183 1.08 1.1 1.43 1.33
PCBP4 427 378 650 602 1.64 1.61 0.97 0.81
